ID_Laporan,ID_Paket,hari_terima,tanggal_terima,waktu_terima,penerima_paket
21089,20089,Sun,29-Mar-2020,1014,Jessie Francis
21090,20090,Mon,30-Mar-2020,1647,Kaylynn Moss
21091,20091,Tue,31-Mar-2020,1030,Josephine Jennings
21092,20092,Wed,1-Apr-2020,0739,Jordon Munoz
21093,20093,Thu,2-Apr-2020,0806,Joaquin Savage
21094,20094,Fri,3-Apr-2020,1431,Abbigail Lynn
21095,20095,Sat,4-Apr-2020,1619,Kelsey Villanueva
21096,20096,Sun,5-Apr-2020,1230,Nicolas Buck
21097,20097,Mon,6-Apr-2020,0743,Jonathan Simmons
21098,20098,Tue,7-Apr-2020,1512,Cohen Perkins
21099,20099,Wed,8-Apr-2020,0839,Maggie Odonnell
21100,20100,Thu,9-Apr-2020,1520,Zion Wiggins
21101,20101,Fri,10-Apr-2020,1241,Indah Hasan
21102,20102,Sat,11-Apr-2020,1345,Aisyah Ibrahim
21103,20103,Sun,12-Apr-2020,1740,Ilham Batari
21104,20104,Mon,13-Apr-2020,1748,Ali Melati
21105,20105,Tue,14-Apr-2020,1021,Wahyu Dwi
21106,20106,Wed,15-Apr-2020,1758,Darma Ahmad
21107,20107,Thu,16-Apr-2020,0720,Faisal Firdaus
21108,20108,Fri,17-Apr-2020,1404,Ahmad Mega
21109,20109,Sat,18-Apr-2020,1339,Dwi Tri
21110,20110,Sun,19-Apr-2020,0708,Harta Tirto
21111,20111,Mon,20-Apr-2020,0944,Hasan Muhammad
21112,20112,Tue,21-Apr-2020,0944,Annisa Dwi
21113,20113,Wed,22-Apr-2020,1152,Dwi Harta
21114,20114,Thu,23-Apr-2020,1418,Aditya Aisyah
21115,20115,Fri,24-Apr-2020,0801,Zakaria Harta
21116,20116,Sat,25-Apr-2020,1329,Dwi Nur
21117,20117,Sun,26-Apr-2020,1404,Harta Intan
21118,20118,Mon,27-Apr-2020,0924,Anisa Surya
21119,20119,Tue,28-Apr-2020,1459,Cahaya Dwi
21120,20120,Wed,29-Apr-2020,1652,Ratu Ismail
21121,20121,Thu,30-Apr-2020,1609,Hasan Muhammad
21122,20122,Fri,1-May-2020,1213,Lestari Irfan
21123,20123,Sat,2-May-2020,1259,Ilham Wahyu
21124,20124,Sun,3-May-2020,1130,Ismail Fatimah
21125,20125,Mon,4-May-2020,1526,Ratna Ridwan
21126,20126,Tue,5-May-2020,1247,Melati Anisa
21127,20127,Wed,6-May-2020,1335,Budi Dwi
21128,20128,Thu,7-May-2020,1548,Aminah Wahyu
21129,20129,Fri,8-May-2020,1512,Harta Ali
21130,20130,Sat,9-May-2020,1125,Ibrahim Harta
21131,20131,Sun,10-May-2020,1416,Surya Nurul
21132,20132,Mon,11-May-2020,1558,Cahaya Darma
21133,20133,Tue,12-May-2020,1222,Firdaus Cahaya
21134,20134,Wed,13-May-2020,0907,Muhammad Faisal
21135,20135,Thu,14-May-2020,1138,Wahyu Cahaya
21136,20136,Fri,15-May-2020,1318,Tirto Harta
21137,20137,Sat,16-May-2020,1411,Hidayat Ratna
21138,20138,Sun,17-May-2020,1753,Hasan Eka
21139,20139,Mon,18-May-2020,1353,Ridwan Fatimah
21140,20140,Tue,19-May-2020,0709,Intan Ilham
21141,20141,Wed,20-May-2020,1019,Nur Ridwan
21142,20142,Thu,21-May-2020,1539,Mawar Citra
21143,20143,Fri,22-May-2020,1114,Sulaiman Hasan
21144,20144,Sat,23-May-2020,1104,Fatimah Nirmala
21145,20145,Sun,24-May-2020,1529,Fatimah Indah
21146,20146,Mon,25-May-2020,1527,Intan Ilham
21147,20147,Tue,26-May-2020,0948,Muhammad Ratu
21148,20148,Wed,27-May-2020,0952,Ratna Sri
21149,20149,Thu,28-May-2020,1542,Dwi Sulaiman
21150,20150,Fri,29-May-2020,1628,Nurul Mawar
21151,20151,Sat,30-May-2020,1711,Harta Bagus
21152,20152,Sun,31-May-2020,1335,Mega Indah
21153,20153,Mon,1-Jun-2020,0914,Sri Hidayat
21154,20154,Tue,2-Jun-2020,0807,Anisa Wibawa
21155,20155,Wed,3-Jun-2020,1222,Tri Nurul
21156,20156,Thu,4-Jun-2020,1435,Irfan Mega
21157,20157,Fri,5-Jun-2020,1436,Eka Setiawan
21158,20158,Sat,6-Jun-2020,1653,Fatimah Aminah
21159,20159,Sun,7-Jun-2020,1413,Nirmala Dwi
21160,20160,Mon,8-Jun-2020,1709,Indah Zakaria
21161,20161,Tue,9-Jun-2020,0728,Batari Lestari
21162,20162,Wed,10-Jun-2020,1147,Wibawa Annisa
21163,20163,Thu,11-Jun-2020,1411,Mawar Hasan
21164,20164,Fri,12-Jun-2020,1156,Bagus Mawar
21165,20165,Sat,13-Jun-2020,1628,Setiawan Intan
21166,20166,Sun,14-Jun-2020,1714,Nurul Budi
21167,20167,Mon,15-Jun-2020,1048,Citra Aditya
21168,20168,Tue,16-Jun-2020,0746,Mega Ratna
21169,20169,Wed,17-Jun-2020,1056,Dwi Anisa
21170,20170,Thu,18-Jun-2020,1446,Ridwan Fatimah
21171,20171,Fri,19-Jun-2020,1740,Dwi Dwi
21172,20172,Sat,20-Jun-2020,1031,Bagus Ali
21173,20173,Sun,21-Jun-2020,1306,Tri Aminah
21174,20174,Mon,22-Jun-2020,1402,Dwi Mega
21175,20175,Tue,23-Jun-2020,1618,Fatimah Aditya
21176,20176,Wed,24-Jun-2020,1430,Ratu Bagus
21177,20177,Thu,25-Jun-2020,0937,Ilham Surya
21178,20178,Fri,26-Jun-2020,1122,Nirmala Mega
21179,20179,Sat,27-Jun-2020,0935,Ibrahim Tirto
21180,20180,Sun,28-Jun-2020,1214,Dwi Dwi
21181,20181,Mon,29-Jun-2020,1444,Ridwan Tirto
21182,20182,Tue,30-Jun-2020,1122,Ridwan Nurul
21183,20183,Wed,1-Jul-2020,0853,Aminah Anisa
21184,20184,Thu,2-Jul-2020,1640,Ridwan Anisa
21185,20185,Fri,3-Jul-2020,0729,Cahaya Budi
21186,20186,Sat,4-Jul-2020,1228,Cahaya Cahaya
21187,20187,Sun,5-Jul-2020,1526,Wahyu Nurul
21188,20188,Mon,6-Jul-2020,1144,Ratna Harta
21189,20189,Tue,7-Jul-2020,1602,Fatimah Surya
21190,20190,Wed,8-Jul-2020,1307,Budi Ahmad
21191,20191,Thu,9-Jul-2020,0958,Dwi Tri
21192,20192,Fri,10-Jul-2020,0701,Firdaus Mawar
21193,20193,Sat,11-Jul-2020,1728,Indah Muhammad
21194,20194,Sun,12-Jul-2020,1058,Dwi Indah
21195,20195,Mon,13-Jul-2020,1455,Surya Aditya
21196,20196,Tue,14-Jul-2020,1151,Harta Irfan
21197,20197,Wed,15-Jul-2020,0708,Surya Setiawan
21198,20198,Thu,16-Jul-2020,1439,Setiawan Surya
21199,20199,Fri,17-Jul-2020,1338,Anisa Dwi
21200,20200,Sat,18-Jul-2020,1315,Harta Nirmala
21201,20201,Sun,19-Jul-2020,1521,Aisyah Mawar
21202,20202,Mon,20-Jul-2020,1020,Tri Ismail
21203,20203,Tue,21-Jul-2020,1203,Aisyah Dwi
21204,20204,Wed,22-Jul-2020,1357,Harta Dwi
21205,20205,Thu,23-Jul-2020,1255,Ilham Nur
21206,20206,Fri,24-Jul-2020,1601,Fatimah Hasan
21207,20207,Sat,25-Jul-2020,1207,Harta Ahmad
21208,20208,Sun,26-Jul-2020,1144,Ilham Ratu
21209,20209,Mon,27-Jul-2020,1055,Hidayat Aminah
21210,20210,Tue,28-Jul-2020,0720,Dwi Wibawa
21211,20211,Wed,29-Jul-2020,1215,Bagus Irfan
21212,20212,Thu,30-Jul-2020,1548,Ratna Anisa
21213,20213,Fri,31-Jul-2020,1637,Indah Nurul
21214,20214,Sat,1-Aug-2020,1523,Aisyah Aisyah
21215,20215,Sun,2-Aug-2020,1110,Ridwan Muhammad
21216,20216,Mon,3-Aug-2020,1212,Budi Mega
21217,20217,Tue,4-Aug-2020,0844,Darma Tri
21218,20218,Wed,5-Aug-2020,0847,Dwi Dwi
21219,20219,Thu,6-Aug-2020,1255,Ali Hasan
21220,20220,Fri,7-Aug-2020,1516,Indah Citra
21221,20221,Sat,8-Aug-2020,1016,Harta Setiawan
21222,20222,Sun,9-Aug-2020,1114,Ibrahim Ratu
21223,20223,Mon,10-Aug-2020,1631,Ilham Melati
21224,20224,Tue,11-Aug-2020,1056,Ratna Anisa
21225,20225,Wed,12-Aug-2020,1722,Muhammad Zakaria
21226,20226,Thu,13-Aug-2020,1150,Nur Surya
21227,20227,Fri,14-Aug-2020,1558,Batari Setiawan
21228,20228,Sat,15-Aug-2020,1526,Anisa Harta
21229,20229,Sun,16-Aug-2020,0920,Wahyu Nirmala
21230,20230,Mon,17-Aug-2020,1015,Indah Harta
21231,20231,Tue,18-Aug-2020,1342,Indah Tirto
21232,20232,Wed,19-Aug-2020,1531,Nirmala Wahyu
21233,20233,Thu,20-Aug-2020,1052,Wahyu Fatimah
21234,20234,Fri,21-Aug-2020,0935,Harta Muhammad
21235,20235,Sat,22-Aug-2020,1359,Aditya Sulaiman
21236,20236,Sun,23-Aug-2020,1114,Dwi Harta
21237,20237,Mon,24-Aug-2020,1444,Fatimah Ridwan
21238,20238,Tue,25-Aug-2020,1746,Sulaiman Harta
21239,20239,Wed,26-Aug-2020,1110,Irfan Cahaya
21240,20240,Thu,27-Aug-2020,1442,Harta Sulaiman
21241,20241,Fri,28-Aug-2020,0904,Indah Indah
21242,20242,Sat,29-Aug-2020,0921,Batari Ilham
21243,20243,Sun,30-Aug-2020,0912,Lestari Anisa
21244,20244,Mon,31-Aug-2020,0733,Muhammad Faisal
21245,20245,Tue,1-Sep-2020,0745,Mawar Wibawa
21246,20246,Wed,2-Sep-2020,1756,Aditya Muhammad
21247,20247,Thu,3-Sep-2020,1559,Mawar Mega
21248,20248,Fri,4-Sep-2020,0953,Anisa Sulaiman
21249,20249,Sat,5-Sep-2020,1202,Nurul Harta
21250,20250,Sun,6-Sep-2020,0811,Mawar Dwi
21251,20251,Mon,7-Sep-2020,1001,Faisal Harta
21252,20252,Tue,8-Sep-2020,1410,Bagus Budi
21253,20253,Wed,9-Sep-2020,1359,Bagus Mawar
21254,20254,Thu,10-Sep-2020,1520,Irfan Mawar
21255,20255,Fri,11-Sep-2020,1343,Wahyu Mawar
21256,20256,Sat,12-Sep-2020,1532,Citra Setiawan
21257,20257,Sun,13-Sep-2020,1314,Ismail Mega
21258,20258,Mon,14-Sep-2020,1737,Ahmad Ridwan
21259,20259,Tue,15-Sep-2020,1641,Ibrahim Fatimah
21260,20260,Wed,16-Sep-2020,1002,Indah Tri
21261,20261,Thu,17-Sep-2020,1326,Lestari Mawar
21262,20262,Fri,18-Sep-2020,1738,Hasan Dwi
21263,20263,Sat,19-Sep-2020,1646,Cahaya Tri
21264,20264,Sun,20-Sep-2020,1328,Hasan Ratna
21265,20265,Mon,21-Sep-2020,0934,Dwi Dwi
21266,20266,Tue,22-Sep-2020,1053,Ali Harta
21267,20267,Wed,23-Sep-2020,1446,Muhammad Aminah
21268,20268,Thu,24-Sep-2020,1553,Tirto Ahmad
21269,20269,Fri,25-Sep-2020,1426,Faisal Dwi
21270,20270,Sat,26-Sep-2020,1321,Irfan Fatimah
21271,20271,Sun,27-Sep-2020,1151,Cahaya Wahyu
21272,20272,Mon,28-Sep-2020,1118,Hasan Ratna
21273,20273,Tue,29-Sep-2020,0711,Dwi Anisa
21274,20274,Wed,30-Sep-2020,1652,Muhammad Nur
21275,20275,Thu,1-Oct-2020,0711,Annisa Sulaiman
21276,20276,Fri,2-Oct-2020,0731,Melati Hasan
21277,20277,Sat,3-Oct-2020,0909,Ratna Anisa
21278,20278,Sun,4-Oct-2020,1714,Hasan Nurul
21279,20279,Mon,5-Oct-2020,0727,Budi Ali
21280,20280,Tue,6-Oct-2020,0826,Wahyu Annisa
21281,20281,Wed,7-Oct-2020,0959,Anisa Sulaiman
21282,20282,Thu,8-Oct-2020,0756,Ratna Aditya
21283,20283,Fri,9-Oct-2020,1506,Dwi Aditya
21284,20284,Sat,10-Oct-2020,1146,Tri Dwi
21285,20285,Sun,11-Oct-2020,0757,Ilham Indah
21286,20286,Mon,12-Oct-2020,1747,Batari Bagus
21287,20287,Tue,13-Oct-2020,1752,Bagus Dwi
21288,20288,Wed,14-Oct-2020,0740,Mega Darma
21289,20289,Thu,15-Oct-2020,0828,Bagus Ilham
21290,20290,Fri,16-Oct-2020,0932,Melati Harta
21291,20291,Sat,17-Oct-2020,0747,Ridwan Mawar
21292,20292,Sun,18-Oct-2020,0950,Fatimah Ratna
21293,20293,Mon,19-Oct-2020,1657,Cahaya Wibawa
21294,20294,Tue,20-Oct-2020,1707,Cahaya Hasan
21295,20295,Wed,21-Oct-2020,1657,Sulaiman Harta
21296,20296,Thu,22-Oct-2020,0707,Nur Dwi
21297,20297,Fri,23-Oct-2020,1228,Aisyah Ratna
21298,20298,Sat,24-Oct-2020,1140,Hidayat Anisa
21299,20299,Sun,25-Oct-2020,1038,Batari Ali
21300,20300,Mon,26-Oct-2020,0950,Indah Fatimah
21301,20301,Tue,27-Oct-2020,0719,Ismail Anisa
21302,20302,Wed,28-Oct-2020,1253,Mawar Aditya
21303,20303,Thu,29-Oct-2020,0912,Hasan Mawar
21304,20304,Fri,30-Oct-2020,1551,Firdaus Fatimah
21305,20305,Sat,31-Oct-2020,1549,Harta Darma
21306,20306,Sun,1-Nov-2020,1034,Indah Intan
21307,20307,Mon,2-Nov-2020,0731,Ilham Batari
21308,20308,Tue,3-Nov-2020,1103,Ali Zakaria
21309,20309,Wed,4-Nov-2020,1537,Indah Eka
21310,20310,Thu,5-Nov-2020,0912,Citra Ahmad
21311,20311,Fri,6-Nov-2020,1452,Darma Ridwan
21312,20312,Sat,7-Nov-2020,1739,Indah Setiawan
21313,20313,Sun,8-Nov-2020,1208,Fatimah Fatimah
21314,20314,Mon,9-Nov-2020,1510,Zakaria Ridwan
21315,20315,Tue,10-Nov-2020,1434,Nur Darma
21316,20316,Wed,11-Nov-2020,1445,Sri Muhammad
21317,20317,Thu,12-Nov-2020,0801,Ahmad Fatimah
21318,20318,Fri,13-Nov-2020,1625,Dwi Muhammad
21319,20319,Sat,14-Nov-2020,1501,Mawar Indah
21320,20320,Sun,15-Nov-2020,1312,Harta Wahyu
21321,20321,Mon,16-Nov-2020,1425,Harta Ridwan
21322,20322,Tue,17-Nov-2020,0918,Harta Sri
21323,20323,Wed,18-Nov-2020,0917,Ilham Ibrahim
21324,20324,Thu,19-Nov-2020,1645,Fatimah Ahmad
21325,20325,Fri,20-Nov-2020,0831,Citra Hasan
21326,20326,Sat,21-Nov-2020,0757,Eka Firdaus
21327,20327,Sun,22-Nov-2020,1701,Hasan Dwi
21328,20328,Mon,23-Nov-2020,1628,Nur Surya
21329,20329,Tue,24-Nov-2020,0829,Harta Nur
21330,20330,Wed,25-Nov-2020,0711,Setiawan Firdaus
21331,20331,Thu,26-Nov-2020,1107,Ratu Citra
21332,20332,Fri,27-Nov-2020,1004,Nurul Tirto
21333,20333,Sat,28-Nov-2020,0837,Ali Dwi
21334,20334,Sun,29-Nov-2020,1314,Ratna Nurul
21335,20335,Mon,30-Nov-2020,1556,Fatimah Anisa
21336,20336,Tue,1-Dec-2020,0712,Wahyu Citra
21337,20337,Wed,2-Dec-2020,1707,Wahyu Dwi
21338,20338,Thu,3-Dec-2020,1126,Setiawan Nur
21339,20339,Fri,4-Dec-2020,1224,Hidayat Cahaya
21340,20340,Sat,5-Dec-2020,1546,Ismail Intan
21341,20341,Sun,6-Dec-2020,1012,Dwi Citra
21342,20342,Mon,7-Dec-2020,1306,Harta Tirto
21343,20343,Tue,8-Dec-2020,1006,Mawar Mawar
21344,20344,Wed,9-Dec-2020,1301,Darma Ridwan
21345,20345,Thu,10-Dec-2020,0719,Wahyu Ilham
21346,20346,Fri,11-Dec-2020,0821,Ridwan Muhammad
21347,20347,Sat,12-Dec-2020,0820,Dwi Fatimah
21348,20348,Sun,13-Dec-2020,0948,Bagus Aditya
21349,20349,Mon,14-Dec-2020,1449,Wahyu Harta
21350,20350,Tue,15-Dec-2020,1241,Wibawa Muhammad
21351,20351,Wed,16-Dec-2020,1438,Fatimah Annisa
21352,20352,Thu,17-Dec-2020,1617,Faisal Nirmala
21353,20353,Fri,18-Dec-2020,1533,Harta Aisyah
21354,20354,Sat,19-Dec-2020,1309,Dwi Dwi
21355,20355,Sun,20-Dec-2020,1228,Nurul Irfan
21356,20356,Mon,21-Dec-2020,1745,Wahyu Annisa
21357,20357,Tue,22-Dec-2020,1501,Fatimah Hasan
21358,20358,Wed,23-Dec-2020,0849,Hasan Citra
21359,20359,Thu,24-Dec-2020,0810,Dwi Intan
21360,20360,Fri,25-Dec-2020,0805,Dwi Eka
21361,20361,Sat,26-Dec-2020,1025,Dwi Ratna
21362,20362,Sun,27-Dec-2020,1625,Ali Setiawan
21363,20363,Mon,28-Dec-2020,0753,Intan Aisyah
21364,20364,Tue,29-Dec-2020,0913,Nurul Hasan
21365,20365,Wed,30-Dec-2020,1036,Harta Harta
21366,20366,Thu,31-Dec-2020,0856,Dwi Eka
21367,20367,Fri,1-Jan-2021,0747,Anisa Ratu
21368,20368,Sat,2-Jan-2021,0818,Hasan Zakaria
21369,20369,Sun,3-Jan-2021,1124,Harta Muhammad
21370,20370,Mon,4-Jan-2021,1527,Ibrahim Cahaya
21371,20371,Tue,5-Jan-2021,1107,Mawar Cahaya
21372,20372,Wed,6-Jan-2021,0959,Eka Sri
21373,20373,Thu,7-Jan-2021,1620,Citra Harta
21374,20374,Fri,8-Jan-2021,0731,Ali Wibawa
21375,20375,Sat,9-Jan-2021,1645,Hasan Harta
21376,20376,Sun,10-Jan-2021,1731,Batari Ismail
21377,20377,Mon,11-Jan-2021,1059,Mega Ridwan
21378,20378,Tue,12-Jan-2021,1058,Dwi Wahyu
21379,20379,Wed,13-Jan-2021,1751,Ilham Ilham
21380,20380,Thu,14-Jan-2021,1328,Hasan Dwi
21381,20381,Fri,15-Jan-2021,1021,Wahyu Nirmala
21382,20382,Sat,16-Jan-2021,1451,Harta Harta
21383,20383,Sun,17-Jan-2021,1136,Dwi Hidayat
21384,20384,Mon,18-Jan-2021,1654,Harta Annisa
21385,20385,Tue,19-Jan-2021,1728,Dwi Ridwan
21386,20386,Wed,20-Jan-2021,1718,Ratu Darma
21387,20387,Thu,21-Jan-2021,0919,Mawar Firdaus
21388,20388,Fri,22-Jan-2021,0738,Ilham Ilham
21389,20389,Sat,23-Jan-2021,1301,Ridwan Irfan
21390,20390,Sun,24-Jan-2021,0942,Muhammad Sri
21391,20391,Mon,25-Jan-2021,0814,Ibrahim Sri
21392,20392,Tue,26-Jan-2021,1745,Muhammad Irfan
21393,20393,Wed,27-Jan-2021,0727,Wibawa Nurul
21394,20394,Thu,28-Jan-2021,0739,Dwi Fatimah
21395,20395,Fri,29-Jan-2021,0812,Dwi Dwi
21396,20396,Sat,30-Jan-2021,1149,Aditya Harta
21397,20397,Sun,31-Jan-2021,1115,Ratu Cahaya
21398,20398,Mon,1-Feb-2021,0759,Harta Fatimah
21399,20399,Tue,2-Feb-2021,0751,Nirmala Ilham
21400,20400,Wed,3-Feb-2021,1259,Fatimah Dwi
21401,20401,Thu,4-Feb-2021,1154,Ilham Hasan
21402,20402,Fri,5-Feb-2021,1758,Nurul Ridwan
21403,20403,Sat,6-Feb-2021,1717,Ahmad Hasan
21404,20404,Sun,7-Feb-2021,0753,Faisal Anisa
21405,20405,Mon,8-Feb-2021,1241,Hasan Indah
21406,20406,Tue,9-Feb-2021,1503,Nurul Nirmala
21407,20407,Wed,10-Feb-2021,1221,Nurul Eka
21408,20408,Thu,11-Feb-2021,0942,Ali Harta
21409,20409,Fri,12-Feb-2021,1456,Sri Anisa
21410,20410,Sat,13-Feb-2021,1648,Tri Ismail
21411,20411,Sun,14-Feb-2021,1006,Wahyu Mawar
21412,20412,Mon,15-Feb-2021,0918,Aditya Firdaus
21413,20413,Tue,16-Feb-2021,1117,Fatimah Faisal
21414,20414,Wed,17-Feb-2021,1336,Ilham Fatimah
21415,20415,Thu,18-Feb-2021,1253,Cahaya Aisyah
21416,20416,Fri,19-Feb-2021,1714,Hasan Annisa
21417,20417,Sat,20-Feb-2021,1341,Surya Aisyah
21418,20418,Sun,21-Feb-2021,0924,Ridwan Muhammad
21419,20419,Mon,22-Feb-2021,0746,Ratna Ratna
21420,20420,Tue,23-Feb-2021,1507,Nurul Dwi
21421,20421,Wed,24-Feb-2021,0924,Dwi Ali
21422,20422,Thu,25-Feb-2021,0932,Zakaria Hidayat
21423,20423,Fri,26-Feb-2021,0944,Surya Darma
21424,20424,Sat,27-Feb-2021,1748,Mega Harta
21425,20425,Sun,28-Feb-2021,1530,Mawar Wahyu
21426,20426,Mon,1-Mar-2021,0718,Faisal Citra
21427,20427,Tue,2-Mar-2021,1613,Melati Ratna
21428,20428,Wed,3-Mar-2021,1040,Ratna Mawar
21429,20429,Thu,4-Mar-2021,1312,Ismail Harta
21430,20430,Fri,5-Mar-2021,1508,Ilham Harta
21431,20431,Sat,6-Mar-2021,1012,Citra Ridwan
21432,20432,Sun,7-Mar-2021,1505,Sulaiman Harta
21433,20433,Mon,8-Mar-2021,0740,Annisa Cahaya
21434,20434,Tue,9-Mar-2021,1645,Irfan Indah
21435,20435,Wed,10-Mar-2021,1259,Dwi Sri
21436,20436,Thu,11-Mar-2021,0811,Melati Mawar
21437,20437,Fri,12-Mar-2021,0808,Anisa Mega
21438,20438,Sat,13-Mar-2021,1426,Cahaya Ali
21439,20439,Sun,14-Mar-2021,0901,Intan Fatimah
21440,20440,Mon,15-Mar-2021,1711,Citra Muhammad
21441,20441,Tue,16-Mar-2021,1046,Harta Nurul
21442,20442,Wed,17-Mar-2021,1427,Citra Tri
21443,20443,Thu,18-Mar-2021,1606,Fatimah Mawar
21444,20444,Fri,19-Mar-2021,1455,Dwi Bagus
21445,20445,Sat,20-Mar-2021,1745,Budi Ali
21446,20446,Sun,21-Mar-2021,1758,Firdaus Mega
21447,20447,Mon,22-Mar-2021,1432,Batari Ilham
21448,20448,Tue,23-Mar-2021,0824,Wahyu Sri
21449,20449,Wed,24-Mar-2021,1152,Nirmala Fatimah
21450,20450,Thu,25-Mar-2021,1446,Indah Nur
21451,20451,Fri,26-Mar-2021,1326,Sulaiman Tri
